天关等级,首通奖励战士(多个用|分割),首通奖励法师(多个用|分割),首通奖励道士(多个用|分割),普通奖励战士(多个用|分割),普通奖励法师(多个用|分割),普通奖励道士(多个用|分割)
25,神兽碎片*5,神兽碎片*5,神兽碎片*5,神兽碎片*1,神兽碎片*1,神兽碎片*1
26,魔体经验券(5万)*6,魔体经验券(5万)*6,魔体经验券(5万)*6,魔体经验券(5万)*2,魔体经验券(5万)*2,魔体经验券(5万)*2
27,绑定元宝*800,绑定元宝*800,绑定元宝*800,绑定元宝*220,绑定元宝*220,绑定元宝*220
28,灵兽精粹*12,灵兽精粹*12,灵兽精粹*12,灵兽精粹*3,灵兽精粹*3,灵兽精粹*3
29,仙翎之羽*12,仙翎之羽*12,仙翎之羽*12,仙翎之羽*3,仙翎之羽*3,仙翎之羽*3
30,10米充值代金券*2,10米充值代金券*2,10米充值代金券*2,3米充值代金券*1,3米充值代金券*1,3米充值代金券*1
31,玄铁*24,玄铁*24,玄铁*24,玄铁*7,玄铁*7,玄铁*7
32,魔盾精粹*14,魔盾精粹*14,魔盾精粹*14,魔盾精粹*4,魔盾精粹*4,魔盾精粹*4
33,法宝精粹*14,法宝精粹*14,法宝精粹*14,法宝精粹*4,法宝精粹*4,法宝精粹*4
34,凶器精粹*14,凶器精粹*14,凶器精粹*14,凶器精粹*4,凶器精粹*4,凶器精粹*4
35,特戒精华*18,特戒精华*18,特戒精华*18,特戒精华*5,特戒精华*5,特戒精华*5
36,特装精粹(攻)*30,特装精粹(攻)*30,特装精粹(攻)*30,特装精粹(攻)*9,特装精粹(攻)*9,特装精粹(攻)*9
37,特装精粹(防)*30,特装精粹(防)*30,特装精粹(防)*30,特装精粹(防)*9,特装精粹(防)*9,特装精粹(防)*9
38,神兽碎片*10,神兽碎片*10,神兽碎片*10,神兽碎片*3,神兽碎片*3,神兽碎片*3
39,魔体经验券(5万)*9,魔体经验券(5万)*9,魔体经验券(5万)*9,魔体经验券(5万)*3,魔体经验券(5万)*3,魔体经验券(5万)*3
40,30米充值代金券*2,30米充值代金券*2,30米充值代金券*2,3米充值代金券*2,3米充值代金券*2,3米充值代金券*2
41,绑定元宝*1000,绑定元宝*1000,绑定元宝*1000,绑定元宝*300,绑定元宝*300,绑定元宝*300
42,灵兽精粹*14,灵兽精粹*14,灵兽精粹*14,灵兽精粹*4,灵兽精粹*4,灵兽精粹*4
43,仙翎之羽*14,仙翎之羽*14,仙翎之羽*14,仙翎之羽*4,仙翎之羽*4,仙翎之羽*4
44,玄铁*28,玄铁*28,玄铁*28,玄铁*8,玄铁*8,玄铁*8
45,魔盾精粹*16,魔盾精粹*16,魔盾精粹*16,魔盾精粹*5,魔盾精粹*5,魔盾精粹*5
46,法宝精粹*16,法宝精粹*16,法宝精粹*16,法宝精粹*5,法宝精粹*5,法宝精粹*5
47,凶器精粹*16,凶器精粹*16,凶器精粹*16,凶器精粹*5,凶器精粹*5,凶器精粹*5
48,特戒精华*20,特戒精华*20,特戒精华*20,特戒精华*6,特戒精华*6,特戒精华*6
49,特装精粹(攻)*40,特装精粹(攻)*40,特装精粹(攻)*40,特装精粹(攻)*11,特装精粹(攻)*11,特装精粹(攻)*11
50,50米充值代金券*2,50米充值代金券*2,50米充值代金券*2,5米充值代金券*1,5米充值代金券*1,5米充值代金券*1
51,特装精粹(防)*40,特装精粹(防)*40,特装精粹(防)*40,特装精粹(防)*11,特装精粹(防)*11,特装精粹(防)*11
52,神兽碎片*10,神兽碎片*10,神兽碎片*10,神兽碎片*3,神兽碎片*3,神兽碎片*3
53,魔体经验券(5万)*15,魔体经验券(5万)*15,魔体经验券(5万)*15,魔体经验券(5万)*4,魔体经验券(5万)*4,魔体经验券(5万)*4
54,绑定元宝*1200,绑定元宝*1200,绑定元宝*1200,绑定元宝*350,绑定元宝*350,绑定元宝*350
55,灵兽精粹*16,灵兽精粹*16,灵兽精粹*16,灵兽精粹*5,灵兽精粹*5,灵兽精粹*5
56,仙翎之羽*16,仙翎之羽*16,仙翎之羽*16,仙翎之羽*5,仙翎之羽*5,仙翎之羽*5
57,玄铁*35,玄铁*35,玄铁*35,玄铁*10,玄铁*10,玄铁*10
58,魔盾精粹*18,魔盾精粹*18,魔盾精粹*18,魔盾精粹*5,魔盾精粹*5,魔盾精粹*5
59,法宝精粹*18,法宝精粹*18,法宝精粹*18,法宝精粹*5,法宝精粹*5,法宝精粹*5
60,鬼炎*1,鬼炎*1,鬼炎*1,5米充值代金券*2,5米充值代金券*2,5米充值代金券*2
61,凶器精粹*18,凶器精粹*18,凶器精粹*18,凶器精粹*5,凶器精粹*5,凶器精粹*5
62,特戒精华*22,特戒精华*22,特戒精华*22,特戒精华*6,特戒精华*6,特戒精华*6
63,特装精粹(攻)*60,特装精粹(攻)*60,特装精粹(攻)*60,特装精粹(攻)*17,特装精粹(攻)*17,特装精粹(攻)*17
64,特装精粹(防)*60,特装精粹(防)*60,特装精粹(防)*60,特装精粹(防)*17,特装精粹(防)*17,特装精粹(防)*17
65,神兽碎片*15,神兽碎片*15,神兽碎片*15,神兽碎片*4,神兽碎片*4,神兽碎片*4
66,魔体经验券(5万)*20,魔体经验券(5万)*20,魔体经验券(5万)*20,魔体经验券(5万)*6,魔体经验券(5万)*6,魔体经验券(5万)*6
67,绑定元宝*1400,绑定元宝*1400,绑定元宝*1400,绑定元宝*400,绑定元宝*400,绑定元宝*400
68,灵兽精粹*18,灵兽精粹*18,灵兽精粹*18,灵兽精粹*5,灵兽精粹*5,灵兽精粹*5
69,仙翎之羽*18,仙翎之羽*18,仙翎之羽*18,仙翎之羽*5,仙翎之羽*5,仙翎之羽*5
70,紫金葫芦*1,紫金葫芦*1,紫金葫芦*1,10米充值代金券*1,10米充值代金券*1,10米充值代金券*1
71,玄铁*50,玄铁*50,玄铁*50,玄铁*14,玄铁*14,玄铁*14
72,魔盾精粹*20,魔盾精粹*20,魔盾精粹*20,魔盾精粹*6,魔盾精粹*6,魔盾精粹*6
73,法宝精粹*20,法宝精粹*20,法宝精粹*20,法宝精粹*6,法宝精粹*6,法宝精粹*6
74,凶器精粹*20,凶器精粹*20,凶器精粹*20,凶器精粹*6,凶器精粹*6,凶器精粹*6
75,特戒精华*24,特戒精华*24,特戒精华*24,特戒精华*7,特戒精华*7,特戒精华*7
76,特装精粹(攻)*80,特装精粹(攻)*80,特装精粹(攻)*80,特装精粹(攻)*25,特装精粹(攻)*25,特装精粹(攻)*25
77,特装精粹(防)*80,特装精粹(防)*80,特装精粹(防)*80,特装精粹(防)*25,特装精粹(防)*25,特装精粹(防)*25
78,神兽碎片*15,神兽碎片*15,神兽碎片*15,神兽碎片*4,神兽碎片*4,神兽碎片*4
79,魔体经验券(5万)*25,魔体经验券(5万)*25,魔体经验券(5万)*25,魔体经验券(5万)*7,魔体经验券(5万)*7,魔体经验券(5万)*7
80,翱风斩*1,纵雷诀*1,毒凌波*1,10米充值代金券*2,10米充值代金券*2,10米充值代金券*2
81,绑定元宝*1600,绑定元宝*1600,绑定元宝*1600,绑定元宝*450,绑定元宝*450,绑定元宝*450
82,灵兽精粹*20,灵兽精粹*20,灵兽精粹*20,灵兽精粹*6,灵兽精粹*6,灵兽精粹*6
83,仙翎之羽*20,仙翎之羽*20,仙翎之羽*20,仙翎之羽*6,仙翎之羽*6,仙翎之羽*6
84,玄铁*80,玄铁*80,玄铁*80,玄铁*23,玄铁*23,玄铁*23
85,魔盾精粹*22,魔盾精粹*22,魔盾精粹*22,魔盾精粹*6,魔盾精粹*6,魔盾精粹*6
86,法宝精粹*22,法宝精粹*22,法宝精粹*22,法宝精粹*6,法宝精粹*6,法宝精粹*6
87,凶器精粹*22,凶器精粹*22,凶器精粹*22,凶器精粹*6,凶器精粹*6,凶器精粹*6
88,特戒精华*26,特戒精华*26,特戒精华*26,特戒精华*7,特戒精华*7,特戒精华*7
89,特装精粹(攻)*100,特装精粹(攻)*100,特装精粹(攻)*100,特装精粹(攻)*30,特装精粹(攻)*30,特装精粹(攻)*30
90,坐骑升星石*1,坐骑升星石*1,坐骑升星石*1,10米充值代金券*3,10米充值代金券*3,10米充值代金券*3
91,特装精粹(防)*100,特装精粹(防)*100,特装精粹(防)*100,特装精粹(防)*30,特装精粹(防)*30,特装精粹(防)*30
92,神兽碎片*20,神兽碎片*20,神兽碎片*20,神兽碎片*6,神兽碎片*6,神兽碎片*6
93,魔体经验券(5万)*30,魔体经验券(5万)*30,魔体经验券(5万)*30,魔体经验券(5万)*9,魔体经验券(5万)*9,魔体经验券(5万)*9
94,绑定元宝*1800,绑定元宝*1800,绑定元宝*1800,绑定元宝*500,绑定元宝*500,绑定元宝*500
95,灵兽精粹*22,灵兽精粹*22,灵兽精粹*22,灵兽精粹*6,灵兽精粹*6,灵兽精粹*6
96,仙翎之羽*22,仙翎之羽*22,仙翎之羽*22,仙翎之羽*6,仙翎之羽*6,仙翎之羽*6
97,玄铁*100,玄铁*100,玄铁*100,玄铁*30,玄铁*30,玄铁*30
98,魔盾精粹*24,魔盾精粹*24,魔盾精粹*24,魔盾精粹*7,魔盾精粹*7,魔盾精粹*7
99,法宝精粹*24,法宝精粹*24,法宝精粹*24,法宝精粹*7,法宝精粹*7,法宝精粹*7
100,白玫瑰(时装)*1,白玫瑰(时装)*1,白玫瑰(时装)*1,10米充值代金券*3,10米充值代金券*3,10米充值代金券*3
101,凶器精粹*24,凶器精粹*24,凶器精粹*24,凶器精粹*7,凶器精粹*7,凶器精粹*7
102,特戒精华*28,特戒精华*28,特戒精华*28,特戒精华*8,特戒精华*8,特戒精华*8
103,特装精粹(攻)*120,特装精粹(攻)*120,特装精粹(攻)*120,特装精粹(攻)*35,特装精粹(攻)*35,特装精粹(攻)*35
104,特装精粹(防)*120,特装精粹(防)*120,特装精粹(防)*120,特装精粹(防)*35,特装精粹(防)*35,特装精粹(防)*35
105,神兽碎片*20,神兽碎片*20,神兽碎片*20,神兽碎片*6,神兽碎片*6,神兽碎片*6
106,魔体经验券(5万)*35,魔体经验券(5万)*35,魔体经验券(5万)*35,魔体经验券(5万)*10,魔体经验券(5万)*10,魔体经验券(5万)*10
107,绑定元宝*2000,绑定元宝*2000,绑定元宝*2000,绑定元宝*580,绑定元宝*580,绑定元宝*580
108,灵兽精粹*24,灵兽精粹*24,灵兽精粹*24,灵兽精粹*7,灵兽精粹*7,灵兽精粹*7
109,仙翎之羽*24,仙翎之羽*24,仙翎之羽*24,仙翎之羽*7,仙翎之羽*7,仙翎之羽*7
110,神武仙翼*1,神武仙翼*1,神武仙翼*1,10米充值代金券*5,10米充值代金券*5,10米充值代金券*5
111,玄铁*200,玄铁*200,玄铁*200,玄铁*57,玄铁*57,玄铁*57
112,魔盾精粹*26,魔盾精粹*26,魔盾精粹*26,魔盾精粹*7,魔盾精粹*7,魔盾精粹*7
113,法宝精粹*26,法宝精粹*26,法宝精粹*26,法宝精粹*7,法宝精粹*7,法宝精粹*7
114,凶器精粹*26,凶器精粹*26,凶器精粹*26,凶器精粹*7,凶器精粹*7,凶器精粹*7
115,特戒精华*30,特戒精华*30,特戒精华*30,特戒精华*9,特戒精华*9,特戒精华*9
116,特装精粹(攻)*140,特装精粹(攻)*140,特装精粹(攻)*140,特装精粹(攻)*40,特装精粹(攻)*40,特装精粹(攻)*40
117,特装精粹(防)*140,特装精粹(防)*140,特装精粹(防)*140,特装精粹(防)*40,特装精粹(防)*40,特装精粹(防)*40
118,神兽碎片*30,神兽碎片*30,神兽碎片*30,神兽碎片*9,神兽碎片*9,神兽碎片*9
119,魔体经验券(5万)*40,魔体经验券(5万)*40,魔体经验券(5万)*40,魔体经验券(5万)*10,魔体经验券(5万)*10,魔体经验券(5万)*10
120,绑定元宝*5000,绑定元宝*5000,绑定元宝*5000,绑定元宝*2000,绑定元宝*2000,绑定元宝*2000
