[强化数量]
1=20
2=36
3=60
4=140
5=260
6=470
7=560
8=810
9=1150
10=1560
11=2000
12=2740
13=3000
14=3750
15=4110
16=4500
17=5100
18=5400
19=6915
20=7500


[回收价格]
;-----------------------装备名字=绑元(金币)|吞噬|充值|经验
绿色项链=10|400|0|265
骑士手镯=10|400|0|265
力量戒指=10|400|0|265
雷霆腰带=10|400|0|265
雷霆靴子=10|400|0|265
骨玉=20|400|0|265
恶魔长袍(男)=20|400|0|265
恶魔长袍(女)=20|400|0|265
星王冠=10|400|0|265
恶魔铃铛=10|400|0|265
龙鳞手镯=10|400|0|265
紫碧螺戒指=10|400|0|265
魔龙腰带=10|400|0|265
魔龙靴子=10|400|0|265
龙纹=20|400|0|265
幽灵战甲(男)=20|400|0|265
幽灵战甲(女)=20|400|0|265
星王冠=10|400|0|265
灵魂项链=10|400|0|265
三眼护腕=10|400|0|265
泰坦戒指=10|400|0|265
风云腰带=10|400|0|265
风云靴子=10|400|0|265

逍遥无极扇=60|800|0|350
天尊道袍=60|800|0|350
天师道袍=60|800|0|350
天尊头盔=30|800|0|350
天尊项链=30|800|0|350
天尊手镯=30|800|0|350
天尊戒指=30|800|0|350
天尊腰带=30|800|0|350
天尊靴子=30|800|0|350
龙牙利刃=60|800|0|350
法神披风=60|800|0|350
霓裳羽衣=60|800|0|350
法神头盔=30|800|0|350
法神项链=30|800|0|350
法神手镯=30|800|0|350
法神戒指=30|800|0|350
法神腰带=30|800|0|350
法神靴子=30|800|0|350
雷霆怒斩=60|800|0|350
天魔战甲=60|800|0|350
圣战战甲=60|800|0|350
圣战头盔=30|800|0|350
圣战项链=30|800|0|350
圣战手镯=30|800|0|350
圣战戒指=30|800|0|350
圣战腰带=30|800|0|350
圣战靴子=30|800|0|350

屠龙刀=90|1600|0|550
神武战甲=90|1600|0|550
神武战袍=90|1600|0|550
神武头盔=45|1600|0|550
神武项链=45|1600|0|550
神武手镯=45|1600|0|550
神武戒指=45|1600|0|550
神武腰带=45|1600|0|550
神武靴子=45|1600|0|550
嗜魂法杖=90|1600|0|550
幻魔披风=90|1600|0|550
幻魔羽衣=90|1600|0|550
幻魔头盔=45|1600|0|550
幻魔项链=45|1600|0|550
幻魔手镯=45|1600|0|550
幻魔戒指=45|1600|0|550
幻魔腰带=45|1600|0|550
幻魔靴子=45|1600|0|550
倚天剑=90|1600|0|550
天玄道袍=90|1600|0|550
天玄道衣=90|1600|0|550
天玄头盔=45|1600|0|550
天玄项链=45|1600|0|550
天玄手镯=45|1600|0|550
天玄戒指=45|1600|0|550
天玄腰带=45|1600|0|550
天玄靴子=45|1600|0|550

道魂辰星道剑=20|3200|2|700
道魂辰星道衣(男)=20|3200|2|700
道魂辰星道衣(女)=20|3200|2|700
道魂辰星道冠=10|3200|1|700
道魂辰星道链=10|3200|1|700
道魂辰星道手=10|3200|1|700
道魂辰星道戒=10|3200|1|700
道魂辰星道带=10|3200|1|700
道魂辰星道靴=10|3200|1|700
法魂血月魔杖=20|3200|2|700
法魂血月法袍(男)=20|3200|2|700
法魂血月法袍(女)=20|3200|2|700
法魂血月王冠=10|3200|1|700
法魂血月吊坠=10|3200|1|700
法魂血月护腕=10|3200|1|700
法魂血月戒指=10|3200|1|700
法魂血月腰带=10|3200|1|700
法魂血月长靴=10|3200|1|700
战魂烈日战刃=20|3200|2|700
战魂烈日甲(男)=20|3200|2|700
战魂烈日甲(女)=20|3200|2|700
战魂烈日王冠=10|3200|1|700
战魂烈日吊坠=10|3200|1|700
战魂烈日护腕=10|3200|1|700
战魂烈日戒指=10|3200|1|700
战魂烈日腰带=10|3200|1|700
战魂烈日长靴=10|3200|1|700

仙道·战魂烈日战刃=40|6400|4|950
仙道·战魂烈日甲(男)=40|6400|4|950
仙道·战魂烈日甲(女)=40|6400|4|950
仙道·战魂烈日王冠=20|6400|2|950
仙道·战魂烈日吊坠=20|6400|2|950
仙道·战魂烈日护腕=20|6400|2|950
仙道·战魂烈日戒指=20|6400|2|950
仙道·战魂烈日腰带=20|6400|2|950
仙道·战魂烈日长靴=20|6400|2|950
仙道·法魂血月魔杖=40|6400|4|950
仙道·法魂血月法袍(男)=40|6400|4|950
仙道·法魂血月法袍(女)=40|6400|4|950
仙道·法魂血月王冠=20|6400|2|950
仙道·法魂血月吊坠=20|6400|2|950
仙道·法魂血月护腕=20|6400|2|950
仙道·法魂血月戒指=20|6400|2|950
仙道·法魂血月腰带=20|6400|2|950
仙道·法魂血月长靴=20|6400|2|950
仙道·道魂辰星道剑=40|6400|4|950
仙道·道魂辰星道衣(男)=40|6400|4|950
仙道·道魂辰星道衣(女)=40|6400|4|950
仙道·道魂辰星道冠=20|6400|2|950
仙道·道魂辰星道链=20|6400|2|950
仙道·道魂辰星道手=20|6400|2|950
仙道·道魂辰星道戒=20|6400|2|950
仙道·道魂辰星道带=20|6400|2|950
仙道·道魂辰星道靴=20|6400|2|950

魔道·道魂辰星道剑=40|7800|4|1000
魔道·道魂辰星道衣(男)=40|7800|4|1000
魔道·道魂辰星道衣(女)=40|7800|4|1000
魔道·道魂辰星道冠=20|7800|2|1000
魔道·道魂辰星道链=20|7800|2|1000
魔道·道魂辰星道手=20|7800|2|1000
魔道·道魂辰星道戒=20|7800|2|1000
魔道·道魂辰星道带=20|7800|2|1000
魔道·道魂辰星道靴=20|7800|2|1000
魔道·法魂血月魔杖=20|7800|4|1000
魔道·法魂血月法袍(男)=40|7800|4|1000
魔道·法魂血月法袍(女)=40|7800|4|1000
魔道·法魂血月王冠=20|7800|2|1000
魔道·法魂血月吊坠=20|7800|2|1000
魔道·法魂血月护腕=20|7800|2|1000
魔道·法魂血月戒指=20|7800|2|1000
魔道·法魂血月腰带=20|7800|2|1000
魔道·法魂血月长靴=20|7800|2|1000
魔道·战魂烈日战刃=40|7800|4|1000
魔道·战魂烈日甲(男)=40|7800|4|1000
魔道·战魂烈日甲(女)=40|7800|4|1000
魔道·战魂烈日王冠=20|7800|2|1000
魔道·战魂烈日吊坠=20|7800|2|1000
魔道·战魂烈日护腕=20|7800|2|1000
魔道·战魂烈日戒指=20|7800|2|1000
魔道·战魂烈日腰带=20|7800|2|1000
魔道·战魂烈日长靴=20|7800|2|1000

盘古开天刃=150|10100|6|3000
盘古开天甲(男)=150|10100|6|3000
盘古开天甲(女)=150|10100|6|3000
盘古开天冠=75|10100|3|3000
盘古开天坠=75|10100|3|3000
盘古开天腕=75|10100|3|3000
盘古开天戒=75|10100|3|3000
盘古开天带=75|10100|3|3000
盘古开天靴=75|10100|3|3000
伏羲裂地魔杖=150|10100|6|3000
伏羲裂地袍(男)=150|10100|6|3000
伏羲裂地袍(女)=150|10100|6|3000
伏羲裂地冠=75|10100|3|3000
伏羲裂地链=75|10100|3|3000
伏羲裂地腕=75|10100|3|3000
伏羲裂地戒=75|10100|3|3000
伏羲裂地带=75|10100|3|3000
伏羲裂地靴=75|10100|3|3000
轩辕人皇剑=150|10100|6|3000
轩辕人皇衣(男)=150|10100|6|3000
轩辕人皇衣(女)=150|10100|6|3000
轩辕人皇冠=75|10100|3|3000
轩辕人皇链=75|10100|3|3000
轩辕人皇手=75|10100|3|3000
轩辕人皇戒=75|10100|3|3000
轩辕人皇带=75|10100|3|3000
轩辕人皇靴=75|10100|3|3000

仙道·轩辕人皇剑=500|10900|10|5000
仙道·轩辕人皇衣(男)=500|10900|10|5000
仙道·轩辕人皇衣(女)=500|10900|10|5000
仙道·轩辕人皇冠=250|10900|5|5000
仙道·轩辕人皇链=250|10900|5|5000
仙道·轩辕人皇手=250|10900|5|5000
仙道·轩辕人皇戒=250|10900|5|5000
仙道·轩辕人皇带=250|10900|5|5000
仙道·轩辕人皇靴=250|10900|5|5000
仙道·伏羲裂地魔杖=500|10900|10|5000
仙道·伏羲裂地袍(男)=500|10900|10|5000
仙道·伏羲裂地袍(女)=500|10900|10|5000
仙道·伏羲裂地冠=250|10900|5|5000
仙道·伏羲裂地链=250|10900|5|5000
仙道·伏羲裂地腕=250|10900|5|5000
仙道·伏羲裂地戒=250|10900|5|5000
仙道·伏羲裂地带=250|10900|5|5000
仙道·伏羲裂地靴=250|10900|5|5000
仙道·盘古开天刃=500|10900|10|5000
仙道·盘古开天甲(男)=500|10900|10|5000
仙道·盘古开天甲(女)=500|10900|10|5000
仙道·盘古开天冠=250|10900|5|5000
仙道·盘古开天坠=250|10900|5|5000
仙道·盘古开天腕=250|10900|5|5000
仙道·盘古开天戒=250|10900|5|5000
仙道·盘古开天带=250|10900|5|5000
仙道·盘古开天靴=250|10900|5|5000

魔道·盘古开天刃=500|15600|10|10000
魔道·盘古开天甲(男)=500|15600|10|10000
魔道·盘古开天甲(女)=500|15600|10|10000
魔道·盘古开天冠=250|15600|5|10000
魔道·盘古开天坠=250|15600|5|10000
魔道·盘古开天腕=250|15600|5|10000
魔道·盘古开天戒=250|15600|5|10000
魔道·盘古开天带=250|15600|5|10000
魔道·盘古开天靴=250|15600|5|10000
魔道·伏羲裂地魔杖=500|15600|10|10000
魔道·伏羲裂地袍(男)=500|15600|10|10000
魔道·伏羲裂地袍(女)=500|15600|10|10000
魔道·伏羲裂地冠=250|15600|5|10000
魔道·伏羲裂地链=250|15600|5|10000
魔道·伏羲裂地腕=250|15600|5|10000
魔道·伏羲裂地戒=250|15600|5|10000
魔道·伏羲裂地带=250|15600|5|10000
魔道·伏羲裂地靴=250|15600|5|10000
魔道·轩辕人皇剑=500|15600|10|10000
魔道·轩辕人皇衣(男)=500|15600|10|10000
魔道·轩辕人皇衣(女)=500|15600|10|10000
魔道·轩辕人皇冠=250|15600|5|10000
魔道·轩辕人皇链=250|15600|5|10000
魔道·轩辕人皇手=250|15600|5|10000
魔道·轩辕人皇戒=250|15600|5|10000
魔道·轩辕人皇带=250|15600|5|10000
魔道·轩辕人皇靴=250|15600|5|10000

鎏金天星剑=750|22100|16|50000
鎏金天星衣(男)=750|22100|16|50000
鎏金天星衣(女)=750|22100|16|50000
鎏金天星冠=375|22100|8|50000
鎏金天星坠=375|22100|8|50000
鎏金天星腕=375|22100|8|50000
鎏金天星戒=375|22100|8|50000
鎏金天星带=375|22100|8|50000
鎏金天星靴=375|22100|8|50000
鎏金魔月杖=750|22100|16|50000
鎏金魔月法袍(男)=750|22100|16|50000
鎏金魔月法袍(女)=750|22100|16|50000
鎏金魔月冠=375|22100|8|50000
鎏金魔月坠=375|22100|8|50000
鎏金魔月镯=375|22100|8|50000
鎏金魔月戒=375|22100|8|50000
鎏金魔月带=375|22100|8|50000
鎏金魔月鞋=375|22100|8|50000
鎏金圣阳刃=750|22100|16|50000
鎏金圣阳甲(男)=750|22100|16|50000
鎏金圣阳甲(女)=750|22100|16|50000
鎏金圣阳冠=375|22100|8|50000
鎏金圣阳链=375|22100|8|50000
鎏金圣阳镯=375|22100|8|50000
鎏金圣阳戒=375|22100|8|50000
鎏金圣阳带=375|22100|8|50000
鎏金圣阳鞋=375|22100|8|50000

仙道·鎏金圣阳刃=2500|24500|26|150000
仙道·鎏金圣阳甲(男)=2500|24500|26|150000
仙道·鎏金圣阳甲(女)=2500|24500|26|150000
仙道·鎏金圣阳冠=1250|24500|13|150000
仙道·鎏金圣阳链=1250|24500|13|150000
仙道·鎏金圣阳镯=1250|24500|13|150000
仙道·鎏金圣阳戒=1250|24500|13|150000
仙道·鎏金圣阳带=1250|24500|13|150000
仙道·鎏金圣阳鞋=1250|24500|13|150000
仙道·鎏金魔月杖=2500|24500|26|150000
仙道·鎏金魔月法袍(男)=2500|24500|26|150000
仙道·鎏金魔月法袍(女)=2500|24500|26|150000
仙道·鎏金魔月冠=1250|24500|13|150000
仙道·鎏金魔月坠=1250|24500|13|150000
仙道·鎏金魔月镯=1250|24500|13|150000
仙道·鎏金魔月戒=1250|24500|13|150000
仙道·鎏金魔月带=1250|24500|13|150000
仙道·鎏金魔月鞋=1250|24500|13|150000
仙道·鎏金天星剑=2500|24500|26|150000
仙道·鎏金天星衣(男)=2500|24500|26|150000
仙道·鎏金天星衣(女)=2500|24500|26|150000
仙道·鎏金天星冠=1250|24500|13|150000
仙道·鎏金天星坠=1250|24500|13|150000
仙道·鎏金天星腕=1250|24500|13|150000
仙道·鎏金天星戒=1250|24500|13|150000
仙道·鎏金天星带=1250|24500|13|150000
仙道·鎏金天星靴=1250|24500|13|150000

魔道·鎏金天星剑=2500|34200|26|350000
魔道·鎏金天星衣(男)=2500|34200|26|350000
魔道·鎏金天星衣(女)=2500|34200|26|350000
魔道·鎏金天星冠=1250|34200|13|350000
魔道·鎏金天星坠=1250|34200|13|350000
魔道·鎏金天星腕=1250|34200|13|350000
魔道·鎏金天星戒=1250|34200|13|350000
魔道·鎏金天星带=1250|34200|13|350000
魔道·鎏金天星靴=1250|34200|13|350000
魔道·鎏金魔月杖=2500|34200|26|350000
魔道·鎏金魔月法袍(男)=2500|34200|26|350000
魔道·鎏金魔月法袍(女)=2500|34200|26|350000
魔道·鎏金魔月冠=1250|34200|13|350000
魔道·鎏金魔月坠=1250|34200|13|350000
魔道·鎏金魔月镯=1250|34200|13|350000
魔道·鎏金魔月戒=1250|34200|13|350000
魔道·鎏金魔月带=1250|34200|13|350000
魔道·鎏金魔月鞋=1250|34200|13|350000
魔道·鎏金圣阳刃=2500|34200|26|350000
魔道·鎏金圣阳甲(男)=2500|34200|26|350000
魔道·鎏金圣阳甲(女)=2500|34200|26|350000
魔道·鎏金圣阳冠=1250|34200|13|350000
魔道·鎏金圣阳链=1250|34200|13|350000
魔道·鎏金圣阳镯=1250|34200|13|350000
魔道·鎏金圣阳戒=1250|34200|13|350000
魔道·鎏金圣阳带=1250|34200|13|350000
魔道·鎏金圣阳鞋=1250|34200|13|350000

巅峰神武刃=3750|44200|36|450000
巅峰神武甲(男)=3750|44200|36|450000
巅峰神武甲(女)=3750|44200|36|450000
巅峰神武盔=1875|44200|18|450000
巅峰神武坠=1875|44200|18|450000
巅峰神武手=1875|44200|18|450000
巅峰神武戒=1875|44200|18|450000
巅峰神武带=1875|44200|18|450000
巅峰神武靴=1875|44200|18|450000
巅峰幻魔法杖=3750|44200|36|450000
巅峰幻魔袍(男)=3750|44200|36|450000
巅峰幻魔袍(女)=3750|44200|36|450000
巅峰幻魔冠=1875|44200|18|450000
巅峰幻魔坠=1875|44200|18|450000
巅峰幻魔腕=1875|44200|18|450000
巅峰幻魔戒=1875|44200|18|450000
巅峰幻魔带=1875|44200|18|450000
巅峰幻魔靴=1875|44200|18|450000
巅峰天玄剑=3750|44200|36|450000
巅峰天玄衣(男)=3750|44200|36|450000
巅峰天玄衣(女)=3750|44200|36|450000
巅峰天玄道冠=1875|44200|18|450000
巅峰天玄道链=1875|44200|18|450000
巅峰天玄护腕=1875|44200|18|450000
巅峰天玄道戒=1875|44200|18|450000
巅峰天玄道带=1875|44200|18|450000
巅峰天玄道靴=1875|44200|18|450000

仙道·巅峰天玄剑=5000|58800|42|550000
仙道·巅峰天玄衣(男)=5000|58800|42|550000
仙道·巅峰天玄衣(女)=5000|58800|42|550000
仙道·巅峰天玄道冠=2500|58800|21|550000
仙道·巅峰天玄道链=2500|58800|21|550000
仙道·巅峰天玄护腕=2500|58800|21|550000
仙道·巅峰天玄道戒=2500|58800|21|550000
仙道·巅峰天玄道带=2500|58800|21|550000
仙道·巅峰天玄道靴=2500|58800|21|550000
仙道·巅峰幻魔法杖=5000|58800|42|550000
仙道·巅峰幻魔袍(男)=5000|58800|42|550000
仙道·巅峰幻魔袍(女)=5000|58800|42|550000
仙道·巅峰幻魔冠=2500|58800|21|550000
仙道·巅峰幻魔坠=2500|58800|21|550000
仙道·巅峰幻魔腕=2500|58800|21|550000
仙道·巅峰幻魔戒=2500|58800|21|550000
仙道·巅峰幻魔带=2500|58800|21|550000
仙道·巅峰幻魔靴=2500|58800|21|550000
仙道·巅峰神武刃=5000|58800|42|550000
仙道·巅峰神武甲(男)=5000|58800|42|550000
仙道·巅峰神武甲(女)=5000|58800|42|550000
仙道·巅峰神武盔=2500|58800|21|550000
仙道·巅峰神武坠=2500|58800|21|550000
仙道·巅峰神武手=2500|58800|21|550000
仙道·巅峰神武戒=2500|58800|21|550000
仙道·巅峰神武带=2500|58800|21|550000
仙道·巅峰神武靴=2500|58800|21|550000

魔道·巅峰神武刃=5000|78400|42|750000
魔道·巅峰神武甲(男)=5000|78400|42|750000
魔道·巅峰神武甲(女)=5000|78400|42|750000
魔道·巅峰神武盔=2500|78400|21|750000
魔道·巅峰神武坠=2500|78400|21|750000
魔道·巅峰神武手=2500|78400|21|750000
魔道·巅峰神武戒=2500|78400|21|750000
魔道·巅峰神武带=2500|78400|21|750000
魔道·巅峰神武靴=2500|78400|21|750000
魔道·巅峰幻魔法杖=5000|78400|42|750000
魔道·巅峰幻魔袍(男)=5000|78400|42|750000
魔道·巅峰幻魔袍(女)=5000|78400|42|750000
魔道·巅峰幻魔冠=2500|78400|21|750000
魔道·巅峰幻魔坠=2500|78400|21|750000
魔道·巅峰幻魔腕=2500|78400|21|750000
魔道·巅峰幻魔戒=2500|78400|21|750000
魔道·巅峰幻魔带=2500|78400|21|750000
魔道·巅峰幻魔靴=2500|78400|21|750000
魔道·巅峰天玄剑=5000|78400|42|750000
魔道·巅峰天玄衣(男)=5000|78400|42|750000
魔道·巅峰天玄衣(女)=5000|78400|42|750000
魔道·巅峰天玄道冠=2500|78400|21|750000
魔道·巅峰天玄道链=2500|78400|21|750000
魔道·巅峰天玄护腕=2500|78400|21|750000
魔道·巅峰天玄道戒=2500|78400|21|750000
魔道·巅峰天玄道带=2500|78400|21|750000
魔道·巅峰天玄道靴=2500|78400|21|750000

仙魔·洪荒玄冥剑=10000|95100|80|1000000
仙魔·洪荒玄冥衣(男)=10000|95100|80|1000000
仙魔·洪荒玄冥衣(女)=10000|95100|80|1000000
仙魔·洪荒玄冥冠=5000|95100|40|1000000
仙魔·洪荒玄冥链=5000|95100|40|1000000
仙魔·洪荒玄冥腕=5000|95100|40|1000000
仙魔·洪荒玄冥戒=5000|95100|40|1000000
仙魔·洪荒玄冥带=5000|95100|40|1000000
仙魔·洪荒玄冥靴=5000|95100|40|1000000
仙魔·洪荒吞魔法杖=10000|95100|80|1000000
仙魔·洪荒吞魔法袍(男)=10000|95100|80|1000000
仙魔·洪荒吞魔法袍(女)=10000|95100|80|1000000
仙魔·洪荒吞魔法冠=5000|95100|40|1000000
仙魔·洪荒吞魔吊坠=5000|95100|40|1000000
仙魔·洪荒吞魔法腕=5000|95100|40|1000000
仙魔·洪荒吞魔法戒=5000|95100|40|1000000
仙魔·洪荒吞魔腰带=5000|95100|40|1000000
仙魔·洪荒吞魔长靴=5000|95100|40|1000000
仙魔·洪荒破日刃=10000|95100|80|1000000
仙魔·洪荒破日甲(男)=10000|95100|80|1000000
仙魔·洪荒破日甲(女)=10000|95100|80|1000000
仙魔·洪荒破日冠=5000|95100|40|1000000
仙魔·洪荒破日链=5000|95100|40|1000000
仙魔·洪荒破日腕=5000|95100|40|1000000
仙魔·洪荒破日戒=5000|95100|40|1000000
仙魔·洪荒破日带=5000|95100|40|1000000
仙魔·洪荒破日靴=5000|95100|40|1000000

经天纬地唯我战刃=3600|126700|60|1500000
经天纬地唯我神甲(男)=3600|126700|60|1500000
经天纬地唯我神甲(女)=3600|126700|60|1500000
经天纬地唯我战盔=3000|126700|60|1500000
经天纬地唯我战链=3000|126700|60|1500000
经天纬地唯我战腕=3000|126700|60|1500000
经天纬地唯我战戒=3000|126700|60|1500000
经天纬地唯我战带=3000|126700|60|1500000
经天纬地唯我战靴=3000|126700|60|1500000
纵横驰骋无双魔杖=3600|126700|60|1500000
纵横驰骋无双法袍(男)=3600|126700|60|1500000
纵横驰骋无双法袍(女)=3600|126700|60|1500000
纵横驰骋无双魔盔=3000|126700|60|1500000
纵横驰骋无双魔链=3000|126700|60|1500000
纵横驰骋无双魔腕=3000|126700|60|1500000
纵横驰骋无双魔戒=3000|126700|60|1500000
纵横驰骋无双魔带=3000|126700|60|1500000
纵横驰骋无双魔靴=3000|126700|60|1500000
古今逍遥独真道剑=3600|126700|60|1500000
古今逍遥独真道衣(男)=3600|126700|60|1500000
古今逍遥独真道衣(女)=3600|126700|60|1500000
古今逍遥独真道盔=3000|126700|60|1500000
古今逍遥独真道链=3000|126700|60|1500000
古今逍遥独真道腕=3000|126700|60|1500000
古今逍遥独真道戒=3000|126700|60|1500000
古今逍遥独真道带=3000|126700|60|1500000
古今逍遥独真道靴=3000|126700|60|1500000

独步天下任我行道剑=6000|167500|85|2000000
独步天下任我行道衣(男)=6000|167500|85|2000000
独步天下任我行道衣(女)=6000|167500|85|2000000
独步天下任我行道盔=5000|167500|85|2000000
独步天下任我行道链=5000|167500|85|2000000
独步天下任我行道腕=5000|167500|85|2000000
独步天下任我行道戒=5000|167500|85|2000000
独步天下任我行道带=5000|167500|85|2000000
独步天下任我行道靴=5000|167500|85|2000000
空前绝后霸权扬魔杖=6000|167500|85|2000000
空前绝后霸权扬法袍(男)=6000|167500|85|2000000
空前绝后霸权扬法袍(女)=6000|167500|85|2000000
空前绝后霸权扬魔盔=5000|167500|85|2000000
空前绝后霸权扬魔链=5000|167500|85|2000000
空前绝后霸权扬魔腕=5000|167500|85|2000000
空前绝后霸权扬魔戒=5000|167500|85|2000000
空前绝后霸权扬魔带=5000|167500|85|2000000
空前绝后霸权扬魔靴=5000|167500|85|2000000
独占鳌头震苍穹战刃=6000|167500|85|2000000
独占鳌头震苍穹神甲(男)=6000|167500|85|2000000
独占鳌头震苍穹神甲(女)=6000|167500|85|2000000
独占鳌头震苍穹战盔=5000|167500|85|2000000
独占鳌头震苍穹战链=5000|167500|85|2000000
独占鳌头震苍穹战腕=5000|167500|85|2000000
独占鳌头震苍穹战戒=5000|167500|85|2000000
独占鳌头震苍穹战带=5000|167500|85|2000000
独占鳌头震苍穹战靴=5000|167500|85|2000000






